ZIP_NEW,adult_pop_2017,HS_grad_higher_2017,bachelor's_higher_2017,adult_pop_2016,HS_grad_higher_2016,bachelor's_higher_2016,adult_pop_2015,HS_grad_higher_2015,bachelor's_higher_2015,adult_pop_2014,HS_grad_higher_2014,bachelor's_higher_2014,adult_pop_2013,HS_grad_higher_2013,bachelor's_higher_2013,adult_pop_2012,HS_grad_higher_2012,bachelor's_higher_2012
73430,1019,83.6,22.3,981,83,18.5,919,85.4,18.3,942,88.4,25.2,972,87,19.3,1025,90.9,20.4
73931,316,86.4,24.1,343,86.3,27.4,385,88.3,26.8,381,88.7,23.4,431,91.4,22,452,93.8,27.7
73949,991,80.1,29.1,1000,80.3,25.4,1018,78.8,22,953,77.3,25.5,1030,72.6,21.8,1015,71.5,19.4
75001,11423,95.7,58.3,11267,95.5,56.1,10923,94.2,53.2,10596,93.2,54.4,9978,90.8,50.3,9478,88.9,50
75002,43166,93.5,46.6,42663,93.6,45.7,42374,94.2,45.6,41517,94.7,45.1,40744,94.8,44.6,40042,95.3,44.9
75006,33048,77.3,28.4,32822,77.3,28.2,32360,76.6,28.3,31682,75.4,28.6,30892,74.7,29.7,30379,75.5,29.9
75007,37346,89.3,40.9,37172,89.4,40,36037,89,39.5,35287,90,39.9,34451,89.9,39.1,34672,89.4,39.2
75009,6999,94,33.3,6731,95,38.5,5916,95.4,36.2,5878,93.3,31.2,5695,92.6,29.4,5290,90.1,31.3
75010,19070,93.9,49.3,17353,93.5,49.7,16933,94.4,46.8,16324,95.3,44.1,16118,94.6,43.6,15332,95.7,41.9
75013,24436,97.9,67.1,23280,97.4,66.5,22278,98.1,68,21274,98,68,19582,97.4,67.6,18746,97.1,67.7
75019,28412,96.7,66.7,27163,96.7,64.8,26846,96.6,64.1,26102,96.5,63.2,25326,96.3,62.9,25115,96.5,63.4
75020,15626,88.5,20.5,15580,88.6,19.2,15401,88.7,21,15443,88.1,20.3,15361,86.6,19.1,15180,86.2,18.7
75021,5989,86.2,13.7,5706,87.1,13.9,5453,85.3,14.1,5492,86.6,14.9,5640,85.8,12.8,5694,85.9,13.3
75022,15537,97.5,67.4,15011,96.8,67.6,14999,97.4,66.5,14391,97.1,65.8,13910,97,64.3,13641,96.8,63
75023,34895,94.7,49.4,34122,94.8,49.1,33043,94.1,48.4,31842,94.4,48.8,31616,94.5,48,30885,94.4,48
75024,29656,98,70.7,28547,97.7,68.1,28085,97.8,67.2,27159,98.1,67.2,25980,98.1,66.9,25115,97.9,69.4
75025,35786,97.6,68,34944,98,67.5,35135,97.8,66.6,34641,97.5,66.7,33344,97,65.8,32945,96.6,65.2
75028,30750,96.8,57.1,29828,96.7,55.9,29064,96.9,54.4,28406,97.5,53.6,27029,97.9,54.5,26225,98.1,55
75032,20555,90.7,45.5,20431,90.3,42.8,20179,91.1,41.6,19790,91.5,43.1,19472,91,40,18638,91.1,39.2
75034,60954,95.6,58.7,57025,95.5,58.8,53066,95.2,57.9,50242,95.5,58.1,46774,95.1,58.8,44337,94.5,58.7
75035,40550,95.6,60.1,37517,95.8,58.9,34316,96.1,58.8,32616,95.8,56.6,31085,96.3,56.6,29696,96.9,55.8
75038,19298,91.3,44.2,18714,90.5,45.5,19022,89.7,46.5,18961,88.5,44.8,18490,88.9,44.4,17856,89.5,45.1
75039,13716,97.8,71.6,12425,97.4,71,11440,98.1,73.7,10468,98,71.6,9675,97.7,70.1,8699,97.8,70.5
75040,38769,72.6,19,37942,72.8,20.4,37250,73.2,19.2,37449,72.4,18.6,36684,72.2,19,35808,72.6,18
75041,19140,65.4,12.2,18691,65.1,12,18737,64.2,11.7,18498,63.4,12.5,18090,65.9,14.5,18065,65.3,14.3
75042,23592,62.1,12.8,23204,62.4,12.4,22886,62.5,11.3,22162,65.2,12,22171,65.5,12.4,21716,66.8,13.7
75043,38804,86.9,25.5,38486,84.9,23.5,38212,85.3,21.3,37487,84.7,22.9,36691,84.2,22.4,36577,84.3,22.3
75044,28712,87.9,38.7,27713,87.9,39.2,27602,87.8,39.3,27755,88.7,37.5,27936,88.4,34.9,28423,87.5,36
75048,15677,88.3,32.4,15015,89,32.7,14391,92.4,33.3,14129,93.2,32.4,13734,92.9,33.6,12988,91.9,32.7
75050,25403,76,20.7,24872,75.9,20.7,25478,77.4,19.3,24411,77.4,19.3,24618,77.6,17.7,24807,76,18.4
75051,24120,66.5,9.9,23931,65.1,9.6,25149,65,11.5,24789,65.9,11,23715,65.1,11.4,22634,63.4,9.3
75052,59698,85.2,27.6,57652,86.1,27.8,55945,86.5,28,54942,86,27.8,53667,85.4,27.8,53870,84.9,25.8
75054,6692,97.2,53.7,5953,96.8,54.9,4719,97.6,56.2,4309,97.3,53.2,3849,97.4,54.3,2770,94.8,49.6
75056,37503,93.7,42.5,36148,93.9,42.2,34791,94.2,40.9,32838,93.8,41.8,32101,93.7,40.4,31143,93.5,40.2
75057,9305,72.9,22.7,8847,73.3,19.9,8663,74.6,20.3,8702,72.2,18,8337,72.5,18.4,7980,70,16.6
75058,1788,89.3,35.1,1847,84.5,32,1927,84.5,32.5,2118,84.5,32,2109,85.3,34.9,2039,82.3,28
75060,28913,65.1,14.3,28960,65.8,13.8,28484,67.5,15.2,28370,69.1,14.3,27495,67.6,13.9,27627,66.1,13.7
75061,32268,64.8,15.1,31867,64.4,14.2,32023,65.4,14.5,31610,66.3,14.5,31447,66.6,15.3,30467,64.5,14.8
75062,29676,78.1,25.7,29931,79.2,26.4,29728,76.9,24.3,29352,78.8,25,28992,78.7,26.5,28755,78.8,26
75063,26490,97.4,70.7,26412,97.2,67.4,26934,96.9,66.4,25750,96.4,63.8,25424,95.8,65.5,24923,95.8,63.7
75065,8887,92.7,30,8486,92.8,30.2,8085,95.7,31,7792,94.4,28.3,7640,95,28,7474,93.8,27.6
75067,43706,87.1,34.2,43214,86.8,33.2,42420,87.7,32.8,40777,87.4,31.6,39565,87.6,31.4,38229,87,30.4
75068,35023,92.4,41.7,31613,91.5,36.7,28913,90.4,33.9,26091,89.9,31.5,24315,89.8,31.1,22022,87.7,30.4
75069,24182,81.7,30,24053,80.7,30.2,23829,82.5,31.2,22739,82.8,30.2,21984,81.4,29.3,21693,80.6,29.7
75070,59178,96.5,53.4,56165,96.6,53.3,52893,96.5,53.2,50223,96.3,53.8,48137,96.6,55.1,45625,97.3,56.5
75071,31080,93.3,44.1,28947,93.2,42.9,27337,93.8,44.4,26120,93.9,42.9,24531,94.1,43.5,23094,93.2,40.1
75074,31448,82.3,34.8,31050,81.3,32.8,30838,81.4,31.2,30546,80.6,31,29575,80.6,30.9,28615,78.1,28.9
75075,25390,93.4,48,25191,91.9,48.5,24730,92.6,48.3,24113,92.6,48.4,23826,92.9,47.4,23741,92.8,47
75076,5362,93.1,25.5,5566,88.7,24.2,5542,87.5,23.6,5604,87.1,22.6,5636,87.2,20.9,5709,86.2,19.7
75077,24860,95.3,47.9,24333,96.1,47.7,24412,96.1,46.2,24905,96,45,24470,96.9,44.7,24631,97,43.7
75078,12149,96.8,56.2,10034,97,53.2,8920,97.4,48.8,7761,97.1,46.9,6894,95.7,47.8,6276,96.3,46.9
75080,32631,90,53.5,31754,90.6,53.8,31028,90.7,53.1,29948,90.6,51.3,28728,88.9,49.1,28632,88,49.3
75081,26387,93.3,44.3,26085,92.6,44.5,24885,92.2,42.7,24519,92.5,42.4,23795,91.8,42.6,23644,91.6,42.5
75082,16656,96.1,66.5,16165,96.1,66.1,15871,95,64.5,15272,94.5,65.4,14719,94.5,63.6,14437,94.3,62.5
75087,21587,93.9,44.9,20944,94.8,42.8,20453,93.3,42.4,20087,93.2,39.3,19327,93,40.8,19244,93.3,39.7
75088,17922,92,32.3,17310,92.5,32.5,17622,90.3,31.8,17389,90.6,31.2,17364,91.1,33.3,16606,90,31.4
75089,20864,93.1,34.3,20433,92.6,33.1,19658,90.4,31.7,18719,88.9,31.5,18088,88.4,34.6,18325,90,32.2
75090,14398,80.4,12,14285,80.4,11.5,14264,79.3,12,13842,77.4,12.6,13961,79.3,12.5,14023,80,12.6
75092,16835,91.9,27.1,16472,91.1,27.9,16385,91.1,27.2,15650,91.3,26.5,15603,90.6,27,15523,89.7,27.8
75093,34274,97.1,66.9,33999,97.2,65.8,33572,96.6,65.8,33506,96.7,63.9,32773,96.9,64.7,32117,97.1,64.1
