Zipcode,2017.Poverty Rate,2016.Poverty Rate,2015.Poverty Rate,2014.Poverty Rate,2013.Poverty Rate,2012.Poverty Rate
73430,6.8,8,9.6,11.1,13.8,15
73931,9.9,4.8,4.1,4.4,2.6,1.4
73949,12.5,11.7,8.3,11.5,9.4,10.9
75001,8.6,8.5,10,12.8,13,14.9
75002,6.9,6.9,7.8,7.9,7.1,5.6
75006,14.8,14.6,13.8,14.7,14.7,13.2
75007,7.8,8.5,7.4,6.9,7.5,6.5
75009,10,10.4,13.7,14.4,12.3,9.7
75010,6.8,6.2,6,5,5,4.2
75013,2.5,2.7,2.2,2.4,2.5,3.3
75019,4.1,4.6,4.8,4.2,4.1,3.3
75020,14.5,16.7,19,18.6,18,18
75021,15.3,17.5,17.4,18.2,20.8,19.7
75022,3.2,3.4,2.2,3.1,2.7,2.4
75023,5.3,6.4,7.1,6.9,7,7.8
75024,4.6,4.5,3.2,4.4,4.8,4
75025,4.6,5,5.4,5.4,5.1,4.7
75028,2.5,3.1,3,3.1,3.3,3.4
75032,6.1,6.2,6.1,7,6,6.9
75034,4.5,4.1,3.8,4.5,4.8,4.5
75035,3.2,3.5,3.5,4.1,4.4,5
75038,15.3,16.3,16.3,16.8,16.3,15.8
75039,4.9,6.1,7.4,8.1,6.7,7.4
75040,12.7,14,15.9,15.6,15.7,15.2
75041,24.3,21.9,22.7,21.2,22.8,19.6
75042,24.4,24.6,28.4,28.8,26.4,23.5
75043,11.6,11.9,11.8,11.8,11.2,11.5
75044,10.8,11.7,12,11,9,7
75048,2.7,2.6,4,3.9,5.2,5.5
75050,18.6,19.7,19.2,20.3,19.4,17.8
75051,20.6,22.7,22.5,24.3,23.9,22.4
75052,8.1,8.1,9.9,9.6,10.5,10.8
75054,4.7,5.1,4.5,7.6,7.8,10
75056,6.3,7,6.4,5.7,5.1,4.1
75057,16,16.3,17.9,16.5,16.9,17.5
75058,7.1,11.4,9.9,13.8,15.6,12.5
75060,15.9,16.8,16.8,18.8,19.4,19.3
75061,19.3,20.8,20.4,20.8,21.6,21.8
75062,15.2,15.1,15.9,16.4,16,17.7
75063,7.3,7.2,7.1,7.3,7.1,5.8
75065,7.9,6.1,4.5,4,4.1,4.3
75067,10.7,10.2,10.5,10.6,9.5,10.7
75068,7,8.3,6.8,7.9,7.5,8.2
75069,14,14.7,15.2,17.1,19.6,20.5
75070,4.3,4.7,5.7,5.8,5.9,5.7
75071,5.6,4.2,3.6,4.1,4.8,5.2
75074,13.6,16,16.4,15.1,15.2,15.6
75075,8.7,8.1,7.5,7.7,8.5,8.2
75076,12.7,12.8,13.4,12.2,10,11.2
75077,4.1,4.8,4.6,4.9,4.6,4.1
75078,3.3,5.9,8.2,8.9,7.5,8.5
75080,15.3,15.1,15.1,15.5,17.8,16
75081,8.1,8.6,8.9,8.6,9.2,9
75082,2.6,3.4,3.7,3.2,3.4,3.9
75087,4.9,5,5,4.4,3.9,4.7
75088,7.2,7.1,5.9,4.8,4.6,5.7
75089,6.2,6.6,7.5,6.5,5.4,4.4
75090,25.2,26.8,26.3,24.5,25,24.3
75092,9.8,10.2,10.9,11.6,10.5,10.6
75093,6.2,5,5.4,6.1,5.7,4.5
75094,4.5,1.5,3.1,3.6,4.7,4.5
75098,6.8,7.3,6.9,6.2,5.5,4.9
75101,15.5,16.5,20.3,19.6,21.4,22.1
75102,12.5,15.6,15.3,11.7,11.7,7.6
75103,11,12.5,13.1,15.1,13.9,14.4
75104,10.8,11.1,11.7,9.8,8.8,9.3
75105,2,2.6,2.2,12.2,7.3,3.5
75109,10.8,11.7,12.5,8.3,8.3,9.4
75110,19.6,21.5,22.9,24.7,23.9,23.6
75114,5.7,6.2,7.7,7.2,6.1,7.8
75115,11.9,11.7,11.3,11.8,9,9.7
75116,19.2,18,15.2,12.5,14.7,14.4
75117,11.7,12.6,15.4,13.8,12.6,15.9
75119,20.4,21.2,22.9,21.7,20.1,16.9
75124,8.8,10.9,10.8,11.4,14.6,14.7
75125,15.4,19.8,24.8,24.2,22.1,18.6
75126,5.4,6.4,6.4,6.5,4.9,5.2
75127,19,18.4,16.9,16.5,15.7,16.5
75132,0,2.8,4,4.2,14.4,18.4
75134,21.7,21.6,20.6,20,20.4,19
75135,10.6,9.4,14.4,15,13.2,13.4
75137,12.3,11.7,10.1,11.4,10.4,9.9
75140,20.6,23,20.9,19.5,20.3,17.7
75141,28.7,25.8,25.3,22.8,24.1,22.7
75142,20.2,20.1,20.4,21.4,17,16.4
75143,18,19.2,20.9,21.4,22.8,18.2
75144,22.2,21.1,15.7,20.4,20.1,20.2
75146,10.8,11.3,12.3,13.4,12.5,9.4
75147,12.2,15.6,20.3,16.8,19.9,22
75148,31.4,27.2,24.5,20.6,21.8,19.1
75149,20.2,20.6,19.9,17.3,14.7,15.4
75150,13.3,15.4,14.1,15.4,15.8,15.2
75152,8,9.7,7.7,9.2,10,12.1
75153,13.6,11.5,12.2,10.3,9.4,1.2
75154,9,9,8.9,9.6,10.7,10.7
75155,20.1,23.7,30.2,29,28.9,24.5
75156,18,18.6,21.8,22.8,20.6,17.5
75157,34.9,35.6,31.6,18.7,24,12.8
75158,16,14.8,11.2,6.5,11.3,11.2
75159,12.6,13,15.1,13.8,12.3,12.4
75160,19.4,22.2,19.6,20.5,20.8,19.8
75161,10.4,11.6,13,12.8,14.3,11.2
75163,16.7,17.7,14,16.8,15.5,12.1
75164,4.6,7.1,4.3,3.8,5,3.7
75165,13.8,13.1,14.3,13.6,13,11.8
75166,0.5,0.9,1,1.1,2.2,2.2
75167,3.8,4.2,4.9,4.5,6.1,4.5
75169,16.6,16.7,17.8,16.9,16.2,14.3
75172,28.5,38.1,40.6,36.9,35.2,26.8
75173,11.7,14.1,13.8,9.5,10.6,10.8
75180,21.8,24.7,25.9,26.4,28.6,31
75181,5.9,8.5,11.1,14.3,12.6,12.8
75182,2.3,4.1,3.3,2.3,2.3,1.8
75189,7.1,7.7,9.4,9.6,11.4,9
75201,13.6,11.7,13.9,13.3,13.5,11.2
75202,15.6,13.6,14.6,7.1,6.7,6.5
75203,30.7,34.5,33.8,37.2,37.1,39.8
75204,19.5,20.7,19.6,19.7,19.4,21.7
75205,5.1,5.8,5.9,7.2,7.6,9.6
75206,14.1,15.5,16.8,17.8,17.8,19.4
75207,7.3,7.9,11.7,8.9,12,16.8
75208,16.9,19.6,23.2,22.9,22.6,25.5
75209,6.9,7,8.1,11.8,12.2,13.4
75210,43.2,49.1,49.8,49.4,52.1,53.3
75211,25.2,26.3,27.7,28.2,27.3,26.9
75212,32.6,31.4,31.5,34,33.2,35.2
75214,9.4,8.8,10.1,10.6,11.3,12.4
75215,34.6,35.6,35.8,40.3,38.4,37.9
75216,37.3,39,41.7,41,39.7,39
75217,31.2,33.8,32.7,31.1,32.7,31.9
75218,9.6,9.5,12.4,11,10.4,9.1
75219,11.4,12.9,13.7,15.6,17.2,17.6
75220,22,24.1,25.2,27.1,26.7,26.7
75223,27.2,26.6,25.6,24.7,24.2,28.4
75224,28.2,27.5,30.8,32,31.1,31.5
75225,2.7,3,2.5,2.6,2.9,3
75226,37.4,35.8,32.8,31.4,30.2,23.9
75227,25.6,28.5,28.4,27.8,25.1,24.6
75228,21.9,25.2,27.6,28.1,28.6,28.4
75229,11.1,12.8,13.2,14,13.2,14.3
75230,6.5,7.9,8.9,9.2,11.1,10.7
75231,28.9,32.7,34.8,34.4,33.1,29.8
75232,32,30.3,30.7,28.6,24.9,22.6
75233,25.5,24.9,28.4,28,25.7,21.9
75234,11,12.7,13.5,14.9,15.9,12.8
75235,22.4,23.2,28.1,29.4,35.5,31.7
75236,22.5,19.1,19.9,24.8,21.6,21.4
75237,33.3,31.9,30.2,29.1,27.7,28.4
75238,16,17.7,18.1,16,14.6,14.9
75240,23.5,27.1,31.5,32.3,31.5,26.6
75241,26.5,24.2,25.7,28.1,29.3,30.9
75243,25.6,25.9,27.1,25.7,26.2,24.7
75244,5.2,7,6.3,7.7,9.3,11.4
